Round  71, Train Loss 1.168, Train Acc 58.27, Test Loss 1.396, Test Acc 52.18
Round  72, Train Loss 1.122, Train Acc 58.20, Test Loss 1.398, Test Acc 52.13
Round  73, Train Loss 1.118, Train Acc 58.05, Test Loss 1.398, Test Acc 52.08
Round  74, Train Loss 1.134, Train Acc 58.09, Test Loss 1.399, Test Acc 52.69
Round  75, Train Loss 1.100, Train Acc 58.07, Test Loss 1.396, Test Acc 52.19
Round  76, Train Loss 1.110, Train Acc 58.13, Test Loss 1.400, Test Acc 51.88
Round  77, Train Loss 1.140, Train Acc 58.69, Test Loss 1.391, Test Acc 52.26
Round  78, Train Loss 1.126, Train Acc 58.82, Test Loss 1.390, Test Acc 52.66
Round  79, Train Loss 1.138, Train Acc 58.71, Test Loss 1.393, Test Acc 52.44
Round  80, Train Loss 1.104, Train Acc 58.59, Test Loss 1.399, Test Acc 52.29
Round  81, Train Loss 1.115, Train Acc 58.86, Test Loss 1.396, Test Acc 52.36
Round  82, Train Loss 1.129, Train Acc 58.89, Test Loss 1.391, Test Acc 52.22
Round  83, Train Loss 1.097, Train Acc 58.59, Test Loss 1.408, Test Acc 51.80
Round  84, Train Loss 1.137, Train Acc 58.95, Test Loss 1.395, Test Acc 52.18
Round  85, Train Loss 1.112, Train Acc 58.78, Test Loss 1.402, Test Acc 52.19
Round  86, Train Loss 1.106, Train Acc 59.26, Test Loss 1.393, Test Acc 52.42
Round  87, Train Loss 1.097, Train Acc 59.01, Test Loss 1.400, Test Acc 52.24
Round  88, Train Loss 1.097, Train Acc 59.36, Test Loss 1.396, Test Acc 52.17
Round  89, Train Loss 1.143, Train Acc 59.47, Test Loss 1.401, Test Acc 52.48
Round  90, Train Loss 1.097, Train Acc 59.41, Test Loss 1.398, Test Acc 52.26
Round  91, Train Loss 1.108, Train Acc 59.69, Test Loss 1.391, Test Acc 51.99
Round  92, Train Loss 1.100, Train Acc 59.14, Test Loss 1.400, Test Acc 52.21
Round  93, Train Loss 1.137, Train Acc 59.70, Test Loss 1.386, Test Acc 53.17
Round  94, Train Loss 1.075, Train Acc 59.59, Test Loss 1.396, Test Acc 52.32
