Round 324, Average loss 1.173
Round 325, Average loss 1.126
Round 326, Average loss 1.136
Round 327, Average loss 1.169
Round 328, Average loss 1.126
Round 329, Average loss 1.132
Round 330, Average loss 1.148
Round 331, Average loss 1.122
Round 332, Average loss 1.113
Round 333, Average loss 1.121
Round 334, Average loss 1.144
Round 335, Average loss 1.116
Round 336, Average loss 1.176
Round 337, Average loss 1.182
Round 338, Average loss 1.146
Round 339, Average loss 1.108
Round 340, Average loss 1.139
Round 341, Average loss 1.128
Round 342, Average loss 1.117
Round 343, Average loss 1.159
Round 344, Average loss 1.149
Round 345, Average loss 1.161
Round 346, Average loss 1.138
Round 347, Average loss 1.153
Round 348, Average loss 1.166
Round 349, Average loss 1.156
Round 350, Average loss 1.104
Round 351, Average loss 1.126
Round 352, Average loss 1.133
Round 353, Average loss 1.125
Round 354, Average loss 1.086
Round 355, Average loss 1.101
Round 356, Average loss 1.117
Round 357, Average loss 1.121
Round 358, Average loss 1.130
Round 359, Average loss 1.153
Round 360, Average loss 1.106
Round 361, Average loss 1.122
Round 362, Average loss 1.129
Round 363, Average loss 1.132
Round 364, Average loss 1.110
Round 365, Average loss 1.068
Round 366, Average loss 1.150
Round 367, Average loss 1.117
Round 368, Average loss 1.110
Round 369, Average loss 1.134
Round 370, Average loss 1.089
Round 371, Average loss 1.153
Round 372, Average loss 1.134
Round 373, Average loss 1.125
Round 374, Average loss 1.137
Round 375, Average loss 1.125
Round 376, Average loss 1.143
Round 377, Average loss 1.103
Round 378, Average loss 1.155
Round 379, Average loss 1.091
Round 380, Average loss 1.131
Round 381, Average loss 1.128
Round 382, Average loss 1.122
Round 383, Average loss 1.121
Round 384, Average loss 1.088
Round 385, Average loss 1.078
Round 386, Average loss 1.091
Round 387, Average loss 1.112
Round 388, Average loss 1.129
Round 389, Average loss 1.121
Round 390, Average loss 1.120
Round 391, Average loss 1.098
Round 392, Average loss 1.110
Round 393, Average loss 1.124
Round 394, Average loss 1.115
Round 395, Average loss 1.120
Round 396, Average loss 1.143
Round 397, Average loss 1.126
Round 398, Average loss 1.086
Round 399, Average loss 1.100
Round 400, Average loss 1.158
Round 401, Average loss 1.122
Round 402, Average loss 1.121
Round 403, Average loss 1.055
Round 404, Average loss 1.106
Round 405, Average loss 1.107
Round 406, Average loss 1.103
Round 407, Average loss 1.113
Round 408, Average loss 1.122
Round 409, Average loss 1.121
Round 410, Average loss 1.108
Round 411, Average loss 1.057
Round 412, Average loss 1.076
Round 413, Average loss 1.099
Round 414, Average loss 1.122
Round 415, Average loss 1.111
Round 416, Average loss 1.118
Round 417, Average loss 1.101
Round 418, Average loss 1.106
Round 419, Average loss 1.109
Round 420, Average loss 1.090
Round 421, Average loss 1.076
Round 422, Average loss 1.111
Round 423, Average loss 1.091
Round 424, Average loss 1.132
Round 425, Average loss 1.134
Round 426, Average loss 1.088
Round 427, Average loss 1.087
Round 428, Average loss 1.122
Round 429, Average loss 1.118
Round 430, Average loss 1.068
Round 431, Average loss 1.125
Round 432, Average loss 1.093
Round 433, Average loss 1.088
Round 434, Average loss 1.074
Round 435, Average loss 1.126
Round 436, Average loss 1.054
Round 437, Average loss 1.093
Round 438, Average loss 1.079
Round 439, Average loss 1.067
Round 440, Average loss 1.068
Round 441, Average loss 1.116
Round 442, Average loss 1.089
Round 443, Average loss 1.078
Round 444, Average loss 1.061
Round 445, Average loss 1.045
Round 446, Average loss 1.092
Round 447, Average loss 1.069
Round 448, Average loss 1.085
Round 449, Average loss 1.127
Round 450, Average loss 1.056
Round 451, Average loss 1.105
Round 452, Average loss 1.121
Round 453, Average loss 1.097
Round 454, Average loss 1.074
Round 455, Average loss 1.088
Round 456, Average loss 1.077
Round 457, Average loss 1.090
Round 458, Average loss 1.072
Round 459, Average loss 1.101
Round 460, Average loss 1.143
Round 461, Average loss 1.074
Round 462, Average loss 1.088
Round 463, Average loss 1.072
Round 464, Average loss 1.077
Round 465, Average loss 1.050
Round 466, Average loss 1.060
Round 467, Average loss 1.055
Round 468, Average loss 1.073
Round 469, Average loss 1.080
